MSZoning,Neighborhood,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,Fireplaces,TotalBsmtSF,SalePrice
RL,Timber,47.0,12416,6,5,1986,1986,1651,2,3,TA,2,616,1,1606,184000
RL,Crawfor,55.0,10594,5,5,1926,1950,789,1,2,TA,1,200,0,768,96500
RL,NAmes,91.0,11643,5,5,1969,1969,2634,2,6,TA,4,968,0,1248,200000
RM,BrkSide,52.0,6240,5,6,1928,1950,1576,1,3,TA,1,225,1,1042,149000
RL,Gilbert,65.0,10237,6,5,2005,2007,1484,2,3,Gd,2,393,1,783,178900
RL,SawyerW,67.0,10083,7,5,2003,2003,1200,2,2,Gd,2,555,0,1176,184900
FV,Somerst,35.0,4251,7,5,2006,2007,1250,2,2,Gd,2,528,0,625,164700
RL,Crawfor,100.0,17500,7,8,1959,2002,1902,2,3,Ex,2,567,2,1902,335000
RL,NAmes,,8544,3,4,1949,1950,1040,2,2,TA,2,400,0,0,87500
RL,NridgHt,79.0,9541,7,5,2009,2009,1502,2,3,Gd,2,644,0,1502,233170
RL,Sawyer,,8544,5,6,1966,2006,1228,1,3,Gd,1,271,0,1228,149350
RL,NAmes,60.0,12144,5,7,1949,1950,1268,1,3,TA,1,288,1,832,133000
RL,Edwards,67.0,5604,5,6,1925,1950,864,1,2,TA,0,0,0,864,98000
RL,NWAmes,79.0,10240,6,6,1980,1980,1686,2,3,TA,2,612,1,1686,207500
RL,Sawyer,,9991,4,4,1976,1993,1620,2,3,TA,2,490,1,1281,150000
RL,Sawyer,,7252,5,5,1982,1982,858,1,2,TA,2,576,0,858,134900
FV,Somerst,60.0,7200,7,5,2006,2006,1301,2,2,Gd,2,572,1,1293,187750
RL,NAmes,128.0,12160,6,4,1953,1953,1505,1,2,TA,2,505,1,1505,149500
RL,NAmes,71.0,9353,4,5,1970,1970,864,1,3,TA,1,280,0,864,116050
RL,SawyerW,64.0,7018,5,5,1979,1979,1224,0,2,TA,2,528,2,1086,153337
RL,Sawyer,,13284,5,5,1954,1954,1383,1,3,TA,1,354,1,1383,165000
RL,Mitchel,60.0,6600,5,9,1982,2008,816,1,3,Gd,1,264,1,816,130500
RM,Mitchel,78.0,7060,7,5,1997,1998,1344,2,2,TA,4,784,0,1344,206300
FV,Somerst,34.0,3604,7,5,2007,2007,1392,2,2,Gd,2,540,0,689,146000
RL,NAmes,80.0,8892,5,5,1960,1960,1065,1,3,TA,2,461,0,1065,126500
RL,Crawfor,53.0,5362,5,6,1910,2003,1250,2,3,TA,2,552,1,661,139000
RM,OldTown,33.0,4456,4,5,1920,2008,1452,2,2,TA,0,0,0,736,113000
RL,Edwards,60.0,9600,6,5,1924,1950,1096,1,2,TA,0,0,0,572,79000
FV,Somerst,95.0,11639,7,5,2007,2008,1428,2,3,Gd,2,480,0,1428,182000
RL,Gilbert,,8000,6,5,1995,1996,1658,2,3,TA,2,431,1,773,188000
RL,NAmes,60.0,7200,5,8,1950,2002,864,1,3,Gd,2,720,0,864,129000
RH,SWISU,,7082,5,8,1916,1995,1928,2,5,TA,0,0,0,686,160000
RL,NAmes,80.0,8400,6,9,1962,2005,1537,1,3,Gd,2,462,1,1319,174000
RL,Gilbert,58.0,14054,7,5,2006,2006,1863,2,4,Gd,3,660,1,879,219210
FV,Somerst,85.0,11003,10,5,2008,2008,2007,2,3,Ex,3,812,1,1017,310000
RL,NridgHt,72.0,11846,9,5,2003,2004,1792,2,2,Ex,3,874,1,1792,374000
RM,OldTown,60.0,8520,5,6,1923,2006,968,1,2,TA,2,480,0,968,100000
RL,NWAmes,,11029,6,7,1968,1984,2654,2,4,Gd,2,619,1,1054,250000
RL,Sawyer,,10246,4,9,1965,2001,960,0,0,TA,1,364,0,648,145000
RM,OldTown,75.0,13500,10,9,1893,2000,2775,3,3,Gd,2,880,1,1237,325000
RL,NridgHt,105.0,13693,9,5,2006,2006,2643,2,3,Ex,3,694,1,2153,380000
RM,Crawfor,44.0,3842,8,5,2004,2005,1646,2,2,Gd,2,482,1,1594,275000
RL,SawyerW,,11200,6,5,1985,1985,1298,2,3,Gd,2,403,1,1298,180000
RL,CollgCr,64.0,10475,8,5,2008,2008,1694,2,3,Gd,3,776,0,1694,245350
RL,NAmes,,12772,6,8,1960,1998,958,1,2,TA,1,301,0,958,151500
RL,NAmes,69.0,10205,5,5,1962,1962,999,1,3,TA,1,300,0,925,134500
RL,Sawyer,54.0,6342,5,8,1875,1996,1020,1,2,TA,0,0,0,780,94000
FV,Somerst,,7500,7,5,2000,2000,1674,2,3,Gd,2,663,0,814,216000
RL,NoRidge,91.0,10437,8,6,1995,1995,2113,2,2,Gd,3,839,1,2109,350000
RL,NWAmes,,12046,6,6,1976,1976,2030,2,4,Gd,2,551,1,848,195000
RL,SawyerW,75.0,10762,6,6,1980,1980,1217,1,3,TA,1,288,1,626,120000
RL,CollgCr,,9375,8,5,2002,2002,2169,2,3,Gd,2,647,1,1284,228500
RL,NoRidge,,29959,7,6,1994,1994,1850,2,3,Gd,2,467,1,973,248000
RL,NAmes,71.0,9204,5,5,1963,1963,1144,1,3,TA,1,336,0,1144,124000
RL,Blmngtn,43.0,3182,7,5,2005,2006,1504,2,2,Gd,2,437,1,1346,191000
RL,NWAmes,78.0,10140,6,6,1974,1999,1309,1,3,Gd,2,484,1,1040,181000
RL,Edwards,60.0,9060,6,5,1939,1950,1258,1,2,TA,1,280,0,560,105000
RL,NAmes,,12342,5,5,1960,1978,1422,1,3,TA,1,286,1,978,139900
RL,NAmes,75.0,9750,6,6,1958,1958,1442,1,4,TA,1,301,0,1442,157900
RL,Edwards,70.0,11767,5,6,1946,1995,1200,1,3,TA,1,240,0,768,130500
RL,Gilbert,,8121,6,5,2000,2000,1664,2,3,TA,2,460,1,953,172400
RL,NAmes,60.0,7134,5,5,1955,1955,1360,1,3,TA,2,572,1,384,130000
RL,Gilbert,74.0,9056,8,5,2004,2004,1414,2,3,Gd,2,403,1,707,178000
RL,NWAmes,,9790,6,5,1967,1967,1342,2,3,TA,2,457,1,1372,161500
RM,OldTown,65.0,7800,5,7,1939,1950,1118,1,3,TA,2,410,1,793,119900
RL,Crawfor,80.0,16560,6,8,1932,1950,2345,2,4,TA,2,360,1,952,239000
RL,NWAmes,105.0,11751,6,6,1977,1977,1844,2,3,TA,2,546,1,1844,190000
RM,BrDale,21.0,1680,6,5,1971,1971,987,1,2,TA,1,264,0,483,85400
RL,NWAmes,,10603,6,7,1977,2001,1610,2,3,Gd,2,480,2,1610,205000
RL,Mitchel,71.0,9187,6,5,1983,1983,1080,1,3,TA,2,484,0,1084,134000
RL,Mitchel,,32463,4,4,1961,1975,1622,1,3,TA,4,1356,1,1249,168000
RL,Gilbert,70.0,11207,6,5,1997,1997,1511,2,3,TA,2,413,1,802,185000
RL,NAmes,,14112,5,7,1964,1964,1152,1,3,TA,2,484,1,1152,180500
RM,IDOTRR,75.0,13710,5,5,1950,1950,1558,1,4,TA,1,282,0,910,152000
RL,SawyerW,80.0,9554,8,5,1993,1994,1911,2,3,Gd,2,471,1,777,215000
RL,NAmes,64.0,8712,5,7,1957,2000,1306,1,2,TA,1,756,0,992,153000
RM,OldTown,90.0,8100,5,5,1898,1965,2138,2,2,TA,2,360,0,849,106000
FV,Somerst,102.0,11143,8,5,2004,2005,2466,3,4,Gd,2,610,1,1580,340000
RL,NAmes,77.0,9786,6,7,1962,1981,1734,1,3,Gd,2,440,1,912,159000
RM,BrkSide,50.0,6000,6,7,1929,1950,1158,1,3,TA,1,208,1,862,120000
RL,Mitchel,100.0,21750,5,4,1960,2006,1771,1,3,TA,2,336,1,0,115000
RL,NPkVill,,4928,6,5,1976,1976,958,2,2,TA,2,440,1,1078,128000
RL,NridgHt,90.0,11694,9,5,2007,2007,1828,2,3,Gd,3,774,1,1822,314813
RL,Edwards,60.0,11409,5,4,1949,2008,1716,1,3,TA,1,281,1,768,131000
RL,NridgHt,67.0,14948,9,5,2008,2008,2713,2,3,Ex,3,858,1,1452,446261
RM,BrkSide,52.0,6240,6,6,1931,1950,1367,1,3,TA,1,560,1,884,127500
RM,OldTown,50.0,2500,7,8,1915,2005,1826,1,4,Ex,1,164,1,910,155000
RL,CollgCr,105.0,11249,6,5,1995,1995,1200,2,3,Gd,2,521,0,1200,177500
RM,OldTown,,12358,5,6,1941,1950,1382,1,2,TA,2,660,0,720,128500
RL,Gilbert,51.0,8029,6,5,2005,2005,1456,2,3,Gd,2,400,0,728,176000
RL,NoRidge,52.0,46589,8,7,1994,2005,2448,2,4,Gd,3,711,1,1629,402000
RH,SWISU,55.0,8525,5,6,1911,1950,1964,1,4,TA,0,0,0,940,130000
RL,NAmes,75.0,8250,6,7,1964,1964,1092,1,3,TA,2,504,0,1092,145000
RL,NAmes,80.0,9600,5,7,1950,2007,1113,1,3,Gd,1,264,1,1113,147000
RL,NAmes,70.0,10500,4,5,1971,1971,864,1,3,TA,0,0,1,864,115000
RL,Gilbert,60.0,7500,7,5,1999,1999,1804,2,3,Gd,2,442,1,994,189000
RL,Mitchel,100.0,25000,5,4,1967,1967,1632,2,4,TA,2,576,0,1632,143000
RL,NWAmes,90.0,10800,6,7,1974,1997,2614,2,4,TA,2,624,1,1522,240000
RL,NridgHt,34.0,5001,7,5,2007,2008,1314,2,2,Gd,2,626,1,1314,230000
RL,NoRidge,107.0,10186,7,5,1992,1992,1923,2,3,Gd,2,564,1,750,190000
RL,CollgCr,70.0,8400,7,5,2004,2005,1484,2,3,Gd,2,606,0,1473,213000
RL,BrkSide,50.0,5330,4,7,1940,1950,708,1,2,Fa,0,0,0,420,82500
RL,NridgHt,76.0,9591,8,5,2004,2005,1713,2,3,Ex,3,856,1,1713,274900
RL,NAmes,70.0,7931,5,6,1960,1960,1269,1,3,TA,1,308,1,1269,155000
RL,Somerst,49.0,20896,8,5,2005,2006,2097,1,1,Ex,3,1134,1,2077,423000
RL,CollgCr,120.0,9560,5,7,1972,1972,864,1,3,TA,1,288,0,864,128500
RL,NridgHt,96.0,11308,9,5,2008,2008,2184,2,3,Ex,3,836,1,1104,335000
RL,NoRidge,89.0,12461,8,5,1994,1995,1624,2,2,Gd,3,757,1,1624,262000
RL,Sawyer,70.0,11200,5,5,1965,1965,1040,1,3,TA,1,384,0,1040,129500
RL,Gilbert,,9505,7,5,2001,2001,2035,2,3,Gd,2,434,1,884,222500
RL,Veenker,30.0,9549,8,5,1995,1996,1494,1,2,Ex,2,481,1,1494,270000
RL,NridgHt,34.0,5063,7,5,2007,2008,1314,2,2,Gd,2,626,1,1314,207500
RL,NWAmes,90.0,11700,6,6,1968,1968,1743,1,3,TA,2,539,1,702,175000
RL,SawyerW,103.0,13125,7,5,1991,1991,2127,2,4,Gd,3,833,1,1104,238000
RL,SWISU,55.0,5687,5,6,1912,2000,1716,2,6,Fa,0,0,0,780,135900
RL,NridgHt,44.0,6371,7,5,2009,2010,1358,2,2,Gd,2,484,1,1358,224000
RL,Gilbert,76.0,9967,7,5,2000,2000,1430,2,3,TA,2,400,1,384,170000
FV,Somerst,62.0,7500,7,5,2004,2005,1221,2,2,Gd,2,400,0,1221,185000
FV,Somerst,75.0,9375,7,5,2003,2004,2094,2,4,Gd,2,615,1,912,263000
RL,Sawyer,60.0,8281,5,5,1965,1965,864,1,3,TA,1,360,1,864,62383
RL,NAmes,69.0,8973,5,7,1958,1991,1053,1,3,Ex,2,750,0,1008,150000
RL,Sawyer,,16647,5,5,1975,1981,1701,2,3,TA,2,611,2,1390,171000
RL,NAmes,70.0,8176,5,6,1958,1992,1056,1,3,TA,1,308,0,1056,139000
RM,OldTown,49.0,5820,3,8,1955,2005,1163,1,3,TA,1,220,0,1162,126175
FV,Somerst,65.0,8125,7,6,2007,2007,1665,2,3,Gd,2,562,0,813,205950
RL,Edwards,67.0,12354,6,8,1920,2000,1196,1,3,Gd,2,528,0,684,110000
RL,NridgHt,104.0,13518,9,5,2008,2009,3140,3,4,Ex,3,820,2,1926,485000
RL,NWAmes,80.0,10400,7,6,1970,1970,1682,2,3,TA,2,530,1,1304,174000
RM,Edwards,35.0,3675,5,5,2005,2005,1072,1,2,TA,2,525,0,547,145000
FV,Somerst,72.0,8640,7,5,2009,2009,1547,2,3,Gd,2,614,0,756,215200
RL,Somerst,84.0,11670,9,5,2006,2006,1905,2,3,Ex,3,788,1,1905,320000
RL,CollgCr,43.0,10667,7,6,1996,1996,1661,2,3,Gd,2,550,1,799,212000
RL,NAmes,82.0,9020,6,5,1964,1964,1350,1,3,TA,2,520,0,1248,168500
RL,SawyerW,70.0,11218,6,5,1992,1992,1845,2,3,Gd,2,462,1,1055,189000
RL,Sawyer,85.0,13825,5,6,1958,1987,1601,1,3,TA,1,300,0,533,140000
RL,Gilbert,,13031,6,5,1995,1996,1498,2,3,TA,2,409,1,691,187500
FV,Somerst,100.0,12552,7,5,2004,2005,1947,2,3,Gd,2,678,1,991,254900
RL,NAmes,,7390,5,7,1955,1955,1098,1,3,TA,1,260,0,1098,135000
RL,NAmes,65.0,9750,6,8,1969,1969,1054,1,3,TA,2,460,0,1054,151000
RM,OldTown,50.0,6000,5,6,1957,1957,928,1,3,TA,1,288,0,928,112500
RL,BrkSide,60.0,9120,7,6,1925,1950,1820,2,4,TA,1,240,0,1026,184000
RL,SWISU,102.0,15863,7,3,1920,1970,3082,2,5,TA,2,672,2,824,197000
RL,ClearCr,,11250,4,5,1957,1989,1788,1,5,TA,1,304,2,1104,161500
RM,OldTown,60.0,7200,5,4,1910,2006,1022,1,2,TA,1,280,0,1022,85000
RL,CollgCr,68.0,8814,7,5,2005,2007,1274,2,3,Gd,2,508,0,1274,203000
RL,StoneBr,77.0,11198,9,5,2005,2007,2504,2,4,Ex,3,656,1,1122,325000
RL,CollgCr,,11050,9,5,2000,2000,2153,2,3,Ex,3,736,2,1440,313000
RL,CollgCr,75.0,9473,8,5,2002,2002,2031,2,3,Gd,2,577,1,1128,237000
RL,BrkSide,60.0,13515,6,6,1919,1950,1824,1,3,TA,2,520,1,764,180500
RL,NAmes,,11425,5,6,1954,1954,1008,1,2,TA,1,275,1,1008,137000
RL,Crawfor,40.0,4280,5,6,1913,2002,694,1,2,Gd,1,352,1,440,90350
RL,Mitchel,55.0,12640,6,5,1976,1976,1728,2,4,TA,2,574,0,1728,150900
RL,CollgCr,78.0,10264,7,5,1999,1999,1588,2,3,Gd,2,472,0,1588,214000
RL,Sawyer,,11341,5,6,1957,1996,1392,1,3,TA,2,528,1,1392,121500
RL,NoRidge,160.0,15623,10,5,1996,1996,4476,3,4,Ex,3,813,2,2396,745000
RL,NWAmes,92.0,11952,7,6,1977,1977,1969,2,3,TA,2,534,1,808,190000
RL,Blmngtn,43.0,3182,7,5,2005,2006,1504,2,1,Gd,2,457,1,1346,181000
RL,Edwards,68.0,9571,5,3,1958,1958,1276,1,3,TA,1,350,0,1276,60000
RL,CollgCr,122.0,11923,9,5,2007,2007,1800,2,2,Ex,2,702,0,1800,239000
RL,Edwards,81.0,11841,6,5,1990,1990,816,1,3,TA,0,0,0,816,118500
RL,NAmes,60.0,7200,5,7,1950,1950,1040,1,2,TA,2,625,0,0,109500
RL,CollgCr,88.0,7990,5,6,1975,1975,924,1,3,TA,1,280,0,924,110000
RL,NAmes,59.0,7227,6,6,1954,1954,832,1,2,Gd,2,528,0,832,105500
RL,Gilbert,,11214,7,5,1998,1999,1886,2,4,Gd,2,431,1,930,199900
RL,SawyerW,90.0,14684,7,7,1990,1991,2196,2,3,Gd,3,701,1,2158,271900
RL,Sawyer,75.0,11625,5,4,1965,1965,1039,1,3,TA,2,504,0,1039,131500
RL,Sawyer,115.0,21286,5,5,1948,1950,1271,2,4,TA,1,312,1,720,135000
RL,Edwards,50.0,8405,5,8,1900,1950,1367,1,4,TA,1,384,0,861,119000
RL,NWAmes,46.0,20544,7,6,1986,1991,2093,2,3,TA,2,542,1,791,215000
RL,CollgCr,36.0,15523,5,6,1972,1972,864,1,3,TA,1,338,1,864,133500
RL,SWISU,50.0,9638,6,7,1919,1990,2447,2,4,Gd,1,336,1,804,169000
RL,NAmes,80.0,8800,6,7,1963,1963,1054,1,3,Gd,2,480,0,936,137500
RL,Mitchel,70.0,8402,5,5,2007,2007,1120,1,3,TA,0,0,0,1120,147000
RL,Somerst,73.0,8688,7,5,2005,2005,1616,2,3,Gd,3,834,0,1616,232000
RL,NAmes,79.0,10289,5,7,1965,1965,1073,1,3,TA,2,515,0,1073,156000
RL,Mitchel,77.0,10010,5,5,1974,1975,1389,1,2,TA,2,418,1,1389,170000
RL,Edwards,,12342,4,5,1940,1950,861,1,1,TA,2,539,0,861,82500
RL,SWISU,60.0,7200,7,9,1936,2007,1135,1,3,Gd,2,576,0,560,155000
RL,CollgCr,77.0,9965,8,5,2006,2007,2828,3,4,Gd,3,1052,1,1466,424870
RL,StoneBr,39.0,5389,8,5,1995,1996,1616,2,2,Gd,2,608,1,1595,236500
RL,Veenker,90.0,10768,5,8,1976,2004,1437,2,3,Gd,2,528,1,1437,218000
RL,CollgCr,75.0,9750,7,5,2000,2001,1630,2,3,Gd,2,451,1,1630,213000
RL,Timber,85.0,14331,8,5,2002,2002,1800,2,3,Gd,3,765,1,1800,312500
RL,Veenker,80.0,9600,6,7,1976,1994,1855,2,3,TA,2,512,1,528,187000
RL,Gilbert,,24682,6,5,1999,1999,1675,2,3,TA,2,502,1,841,181000
RL,SawyerW,76.0,10142,7,5,2004,2004,2084,2,4,Gd,2,618,0,956,233000
RL,Edwards,60.0,9084,5,6,1941,1950,1111,1,3,TA,1,200,0,616,95000
RL,BrkSide,56.0,4130,3,6,1935,2003,729,1,2,TA,0,0,0,270,52000
RL,NWAmes,48.0,17043,6,5,1979,1998,1586,2,3,TA,2,435,1,1362,181000
RL,StoneBr,63.0,17423,9,5,2008,2009,2234,2,1,Ex,3,1166,1,2216,501837
RL,NAmes,,8125,4,4,1971,1971,858,1,3,TA,0,0,0,858,88000
RL,Mitchel,,8780,5,5,1985,1985,833,1,3,TA,0,0,0,833,112000
RL,NAmes,70.0,7763,5,7,1962,1980,1283,1,3,TA,2,506,0,931,140000
RL,NAmes,80.0,9600,6,5,1953,1953,1644,1,3,TA,2,418,2,1416,167000
RL,NAmes,80.0,11600,6,5,1960,1960,1383,1,3,TA,1,292,0,1383,145250
RL,NWAmes,85.0,13175,6,6,1978,1988,2073,2,3,TA,2,500,2,1542,210000
RM,OldTown,60.0,10440,5,8,1904,2002,1539,2,3,Gd,2,686,1,650,157500
RL,CollgCr,84.0,10084,7,5,2005,2006,1552,2,3,Gd,3,782,0,1552,212900
RL,NAmes,70.0,9100,5,6,1965,1965,925,1,2,TA,1,429,0,925,117500
RL,CollgCr,65.0,8773,7,5,2004,2004,1414,2,3,Gd,2,494,0,1414,185500
C (all),IDOTRR,105.0,8470,3,2,1915,1982,1526,1,2,Fa,0,0,0,1013,85000
RL,NAmes,70.0,8393,5,5,1959,2005,1712,2,4,TA,2,588,0,1626,145000
RL,NridgHt,87.0,11146,8,5,2006,2006,1717,2,3,Gd,3,908,1,1709,255500
RM,OldTown,50.0,9000,5,6,1880,1991,1750,1,3,Ex,1,240,0,636,124000
RM,BrkSide,50.0,6000,6,9,1937,2000,1176,1,2,TA,2,624,0,698,134900
RL,Gilbert,106.0,11194,8,5,2000,2000,1936,2,3,Gd,2,504,1,1406,230500
RL,NAmes,,7340,4,6,1971,1971,858,1,2,TA,1,684,0,858,110000
RL,CollgCr,120.0,15611,8,5,2006,2006,1919,2,3,Gd,2,685,1,1079,233230
RM,OldTown,60.0,7200,7,7,1920,1950,1762,1,4,Gd,2,576,0,596,157000
RL,NAmes,74.0,13101,5,5,1965,1965,1728,2,6,TA,2,576,0,1728,142600
RL,NridgHt,36.0,2448,7,5,2003,2004,1626,2,2,Gd,2,474,0,764,154000
RL,Gilbert,58.0,17104,7,5,2006,2006,1496,2,3,Gd,2,426,1,654,179665
RL,SWISU,52.0,6292,6,5,1930,1950,790,1,2,TA,1,160,0,768,91000
RL,NWAmes,,12384,7,7,1976,1976,1935,2,3,TA,2,550,1,793,197900
RL,NWAmes,80.0,10480,7,6,1976,1976,1964,2,4,TA,2,483,1,803,205000
RM,OldTown,,5100,8,7,1925,1996,1666,1,3,Gd,1,228,1,588,161000
RL,CollgCr,65.0,8385,5,8,1977,1977,985,2,3,TA,1,328,0,985,149900
RM,NridgHt,59.0,8198,7,5,2004,2004,1358,2,2,Gd,2,484,1,1358,207000
RM,CollgCr,,4426,6,5,2004,2004,848,1,1,Gd,2,420,0,848,143000
RL,NridgHt,86.0,11065,8,5,2006,2006,1970,2,3,Ex,3,753,1,1085,281000
RL,StoneBr,80.0,11844,8,5,2008,2008,2046,2,3,Gd,3,834,1,2046,372500
RL,CollgCr,,10316,7,5,2000,2000,1865,2,3,Gd,3,839,1,992,235000
RL,BrkSide,,11888,6,6,1916,1994,2134,2,5,Gd,2,441,0,844,214500
RL,NoRidge,90.0,9900,7,5,1993,1993,2646,2,4,Gd,3,656,1,1347,260000
RM,OldTown,90.0,7407,6,7,1957,1996,1236,1,2,TA,2,923,0,912,149700
RL,Mitchel,,8885,5,5,1983,1983,902,1,2,TA,2,484,0,864,131000
RL,Sawyer,,12968,5,6,1962,1962,912,1,2,TA,1,352,0,912,144000
RL,NAmes,141.0,31770,6,5,1960,1960,1656,1,3,TA,2,528,2,1080,215000
RL,NAmes,120.0,19296,6,5,1962,1962,1382,1,3,TA,2,884,1,1362,176000
RH,SawyerW,60.0,8400,5,5,1977,1977,2020,2,4,TA,2,630,2,0,144000
RL,ClearCr,80.0,8816,6,7,1971,1971,1052,1,3,TA,2,440,0,1010,155000
RL,NoRidge,65.0,12257,8,5,1995,1995,2531,2,4,Gd,3,752,1,1318,290000
RL,CollgCr,73.0,9066,8,5,1999,2000,1852,2,3,Gd,3,660,2,1004,230000
RL,Somerst,85.0,10182,8,5,2006,2006,1660,2,3,Gd,2,500,1,1660,290000
FV,Somerst,50.0,5119,9,5,1999,2000,1709,2,2,Gd,2,506,1,1698,328900
RL,Sawyer,65.0,6768,6,8,1961,1996,912,1,3,Gd,1,288,0,912,142000
RL,CollgCr,65.0,15426,6,5,1997,1997,1764,2,3,Gd,2,470,0,928,231500
RL,NWAmes,,12936,6,6,1972,1972,1395,1,3,TA,2,497,1,723,162000
RL,Sawyer,75.0,7500,5,5,1963,1963,1040,1,3,TA,1,308,0,1040,133000
RL,NridgHt,103.0,13472,10,5,2003,2003,2392,2,3,Ex,3,968,1,2392,386250
RM,OldTown,50.0,6000,6,6,1925,1980,1103,1,2,Gd,2,440,1,1103,110500
FV,Somerst,85.0,10800,8,5,2007,2008,2078,2,3,Ex,3,836,1,1034,339750
RM,IDOTRR,50.0,5000,5,6,1941,1950,803,1,2,TA,2,360,0,720,87000
RL,Crawfor,80.0,14000,6,8,1950,2004,1152,1,3,Gd,1,300,1,1092,158500
RL,NWAmes,85.0,10625,7,6,1974,1974,1173,2,3,Gd,2,528,2,1053,170000
RM,IDOTRR,70.0,5600,4,5,1930,1950,1092,2,3,Fa,0,0,0,0,55000
RL,Crawfor,96.0,13132,5,5,1914,1950,1784,1,4,TA,1,180,0,747,138887
RL,NWAmes,102.0,10192,7,6,1968,1992,1920,3,4,Gd,2,487,1,570,170000
RL,Gilbert,50.0,14859,7,5,2006,2006,1670,2,3,Gd,3,690,1,1670,240000
FV,Somerst,24.0,2544,7,5,2005,2005,1223,2,2,Gd,2,480,0,600,147400
RL,Crawfor,100.0,15602,7,8,1959,1997,1801,2,1,TA,2,484,2,1501,289000
RL,NWAmes,87.0,9246,5,5,1973,1973,1656,2,4,TA,2,506,0,1656,135000
RL,Crawfor,60.0,9550,7,5,1915,1970,1717,1,3,Gd,3,642,1,756,140000
RL,NoRidge,108.0,14774,9,5,1999,1999,2599,2,4,Gd,3,779,1,1393,333168
RL,NAmes,79.0,9480,5,7,1942,1995,1644,1,3,Gd,1,312,2,728,146500
RL,NridgHt,99.0,12099,8,5,2004,2004,2468,2,4,Gd,3,872,1,1136,354000
RL,Mitchel,85.0,14115,5,5,1993,1995,1362,1,1,TA,2,480,0,796,143000
RL,Timber,64.0,9037,8,5,2006,2006,1484,2,2,Ex,2,472,1,1476,265900
RL,NAmes,71.0,9230,5,8,1965,1998,1200,1,1,Gd,2,884,0,864,146000
RL,NWAmes,78.0,10140,6,5,1974,1974,1350,2,3,TA,2,478,1,1064,165000
RL,Edwards,65.0,6040,4,5,1955,1955,1152,2,2,Fa,0,0,0,0,82000
RL,NWAmes,78.0,10140,7,5,1998,1999,1680,2,3,Gd,2,583,1,1650,213250
RM,OldTown,63.0,5000,5,4,1900,1950,1440,1,3,TA,1,352,0,540,79000
RL,NAmes,,10355,5,5,1967,1967,1214,2,3,TA,1,318,1,1214,143000
RL,Sawyer,,13517,6,8,1976,2005,1479,2,3,Gd,2,475,0,725,130500
RL,Gilbert,72.0,10463,8,5,2005,2005,1801,2,3,Gd,3,800,1,893,239900
RL,Crawfor,,7500,6,7,1942,1950,1494,1,3,Gd,1,213,2,771,177500
RL,SawyerW,86.0,11839,7,5,1990,1990,2329,2,4,Gd,2,514,1,1475,262280
RL,Somerst,85.0,10000,8,5,2006,2006,1588,2,3,Gd,3,825,1,1588,227000
RL,NAmes,79.0,8910,6,6,1959,1959,1194,1,3,TA,2,539,1,655,159500
RL,CollgCr,79.0,9236,6,5,1997,1997,1494,2,3,Gd,2,576,0,1479,217000
RL,NoRidge,56.0,14720,8,5,1995,1996,3238,2,4,Gd,3,666,1,2033,410000
RL,CollgCr,57.0,8846,5,5,1996,1996,914,1,2,TA,2,576,0,870,148000
